warehouse_id,ssu_id,expect_num,order_num,order_money,unit_price,ssu_expect_sum,ssu_warehouse_num,warehouse_order_sum,warehouse_company_num,warehouse_order_money,warehouse_ssu_num,act_type,is_act,dayofweek,month,monthinyear,dayinmonth,expect_num_1d,expect_num_r_1d,order_num_1d,order_num_r_1d,order_money_1d,order_money_r_1d,unit_price_1d,unit_price_r_1d,ssu_expect_sum_1d,ssu_expect_sum_r_1d,ssu_warehouse_num_1d,ssu_warehouse_num_r_1d,warehouse_order_sum_1d,warehouse_company_num_1d,warehouse_order_money_1d,warehouse_ssu_num_1d,expect_num_2d,expect_num_r_2d,order_num_2d,order_num_r_2d,order_money_2d,order_money_r_2d,unit_price_2d,unit_price_r_2d,ssu_expect_sum_2d,ssu_expect_sum_r_2d,ssu_warehouse_num_2d,ssu_warehouse_num_r_2d,warehouse_order_sum_2d,warehouse_company_num_2d,warehouse_order_money_2d,warehouse_ssu_num_2d
4,368595,44,40,5324.0,121.0,44,1,2424,2226,344177.835,459,0.0,0.0,6,1,0,1,22.0,0.5,19.0,0.475,2662.0,0.5,0.0,0.0,22.0,0.5,0.0,0.0,374.0,324.0,55991.03500000003,18.0,9.0,0.20454545454545456,7.0,0.175,1089.0,0.20454545454545456,0.0,0.0,9.0,0.20454545454545456,0.0,0.0,209.0,184.0,33816.80499999999,17.0
4,368595,38,33,4598.0,121.0,38,1,2713,2528,314141.8,442,0.0,0.0,0,1,0,1,-6.0,-0.15789473684210525,-7.0,-0.21212121212121213,-726.0,-0.15789473684210525,0.0,0.0,-6.0,-0.15789473684210525,0.0,0.0,289.0,302.0,-30036.035000000033,-17.0,16.0,0.42105263157894735,12.0,0.36363636363636365,1936.0,0.42105263157894735,0.0,0.0,16.0,0.42105263157894735,0.0,0.0,663.0,626.0,25955.0,1.0
4,368595,22,20,2662.0,121.0,22,1,2501,2337,310684.585,456,0.0,0.0,1,1,0,1,-16.0,-0.7272727272727273,-13.0,-0.65,-1936.0,-0.7272727272727273,0.0,0.0,-16.0,-0.7272727272727273,0.0,0.0,-212.0,-191.0,-3457.2149999999674,14.0,-22.0,-1.0,-20.0,-1.0,-2662.0,-1.0,0.0,0.0,-22.0,-1.0,0.0,0.0,77.0,111.0,-33493.25,-3.0
4,368595,45,42,5445.0,121.0,45,1,2283,2116,324303.205,464,0.0,0.0,2,1,0,1,23.0,0.5111111111111111,22.0,0.5238095238095238,2783.0,0.5111111111111111,0.0,0.0,23.0,0.5111111111111111,0.0,0.0,-218.0,-221.0,13618.619999999995,8.0,7.0,0.15555555555555556,9.0,0.21428571428571427,847.0,0.15555555555555556,0.0,0.0,7.0,0.15555555555555556,0.0,0.0,-430.0,-412.0,10161.405000000028,22.0
4,368595,34,28,4114.0,121.0,34,1,2248,2069,332092.53,458,0.0,0.0,3,1,0,1,-11.0,-0.3235294117647059,-14.0,-0.5,-1331.0,-0.3235294117647059,0.0,0.0,-11.0,-0.3235294117647059,0.0,0.0,-35.0,-47.0,7789.325000000012,-6.0,12.0,0.35294117647058826,8.0,0.2857142857142857,1452.0,0.35294117647058826,0.0,0.0,12.0,0.35294117647058826,0.0,0.0,-253.0,-268.0,21407.945000000007,2.0
4,368595,25,23,3025.0,121.0,25,1,2201,2049,335759.47,471,0.0,0.0,4,1,0,1,-9.0,-0.36,-5.0,-0.21739130434782608,-1089.0,-0.36,0.0,0.0,-9.0,-0.36,0.0,0.0,-47.0,-20.0,3666.939999999944,13.0,-20.0,-0.8,-19.0,-0.8260869565217391,-2420.0,-0.8,0.0,0.0,-20.0,-0.8,0.0,0.0,-82.0,-67.0,11456.264999999956,7.0
4,368595,21,19,2541.0,121.0,21,1,2023,1876,292713.85,440,0.0,0.0,5,1,0,1,-4.0,-0.19047619047619047,-4.0,-0.21052631578947367,-484.0,-0.19047619047619047,0.0,0.0,-4.0,-0.19047619047619047,0.0,0.0,-178.0,-173.0,-43045.619999999995,-31.0,-13.0,-0.6190476190476191,-9.0,-0.47368421052631576,-1573.0,-0.6190476190476191,0.0,0.0,-13.0,-0.6190476190476191,0.0,0.0,-225.0,-193.0,-39378.68000000005,-18.0
4,368595,29,28,3509.0,121.0,29,1,2282,2129,324207.91,454,0.0,0.0,6,1,0,1,8.0,0.27586206896551724,9.0,0.32142857142857145,968.0,0.27586206896551724,0.0,0.0,8.0,0.27586206896551724,0.0,0.0,259.0,253.0,31494.059999999998,14.0,4.0,0.13793103448275862,5.0,0.17857142857142858,484.0,0.13793103448275862,0.0,0.0,4.0,0.13793103448275862,0.0,0.0,81.0,80.0,-11551.559999999998,-17.0
4,368595,27,25,3267.0,121.0,27,1,2159,2008,303668.12,458,0.0,0.0,0,1,0,1,-2.0,-0.07407407407407407,-3.0,-0.12,-242.0,-0.07407407407407407,0.0,0.0,-2.0,-0.07407407407407407,0.0,0.0,-123.0,-121.0,-20539.78999999998,4.0,6.0,0.2222222222222222,6.0,0.24,726.0,0.2222222222222222,0.0,0.0,6.0,0.2222222222222222,0.0,0.0,136.0,132.0,10954.270000000019,18.0
4,368595,48,37,5808.0,121.0,48,1,2262,2081,316413.2,455,0.0,0.0,1,1,0,1,21.0,0.4375,12.0,0.32432432432432434,2541.0,0.4375,0.0,0.0,21.0,0.4375,0.0,0.0,103.0,73.0,12745.080000000016,-3.0,19.0,0.3958333333333333,9.0,0.24324324324324326,2299.0,0.3958333333333333,0.0,0.0,19.0,0.3958333333333333,0.0,0.0,-20.0,-48.0,-7794.709999999963,1.0
